Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,93.85,106.20,93.00,105.10,10181700,101.71
2014-02-24,94.90,97.65,93.55,94.05,4930900,91.02
2014-02-17,95.15,98.85,94.60,95.15,4003000,92.08
2014-02-10,97.00,99.85,93.80,95.35,7159200,92.28
2014-02-03,92.00,97.15,88.05,96.15,5387800,93.05
2014-01-27,97.45,97.45,91.10,93.20,7314400,90.20
2014-01-20,99.50,101.50,97.80,98.15,5924100,94.99
2014-01-13,98.05,103.40,98.05,100.05,5844200,96.83
2014-01-06,105.40,105.50,98.00,98.50,8453200,95.32
2013-12-30,107.00,111.40,103.40,105.45,9184100,102.05
2013-12-23,104.85,108.40,104.50,106.05,3677700,102.63
2013-12-16,103.50,107.80,100.55,104.85,9215800,101.47
2013-12-09,117.30,117.80,103.10,103.35,8594100,100.02
2013-12-02,104.00,114.60,104.00,112.65,9254100,109.02
2013-11-25,102.50,105.00,99.15,103.95,7211700,100.60
2013-11-18,106.40,109.40,100.70,101.45,9637000,98.18
2013-11-11,105.65,106.10,99.80,104.30,8888800,100.94
2013-11-04,112.95,115.45,104.90,106.05,9039300,102.63
2013-10-28,103.25,115.50,97.50,112.95,15927900,109.31
2013-10-21,97.10,105.85,96.90,102.65,12981100,99.34
2013-10-14,97.70,99.50,92.25,96.40,5910000,93.29
2013-10-07,93.60,99.25,92.00,97.85,9811900,94.70
2013-09-30,88.00,95.30,86.30,93.35,5340000,90.34
2013-09-23,98.60,98.80,88.15,88.85,10794000,85.99
2013-09-16,97.40,103.50,91.35,99.05,15784300,95.86
2013-09-09,87.45,99.85,87.45,95.10,15334500,92.03
2013-09-02,82.20,88.30,78.70,87.45,13912600,84.63
2013-08-26,103.75,105.40,76.10,80.50,38238200,77.91
2013-08-19,105.00,110.00,97.15,103.75,8781000,100.41
2013-08-12,107.10,114.20,104.00,106.75,6764900,103.31
2013-08-05,103.10,109.35,101.95,107.10,5583700,103.65
2013-07-29,115.10,116.30,101.05,103.55,11173300,100.21
2013-07-22,125.00,129.50,114.70,115.80,9138800,112.07
2013-07-15,135.90,138.40,123.40,125.95,10982800,121.89
2013-07-08,127.65,135.65,125.20,134.85,7404500,127.85
2013-07-01,129.00,133.40,120.65,129.80,10928500,123.06
2013-06-24,135.00,136.35,124.20,128.15,9553000,121.49
2013-06-17,142.70,147.65,132.55,136.35,5712300,129.27
2013-06-10,148.00,149.45,137.65,143.25,4266000,135.81
2013-06-03,145.00,151.10,144.20,147.40,4459700,139.74
2013-05-27,155.75,160.15,142.30,144.70,5670000,137.18
2013-05-20,164.05,165.30,151.40,155.25,3650500,147.19
2013-05-13,152.65,165.45,148.80,163.85,5879900,155.34
2013-05-06,152.10,157.40,148.10,153.60,6740300,145.62
2013-04-29,156.00,159.00,150.50,151.30,5653500,143.44
2013-04-22,161.30,162.25,154.10,155.45,4323700,147.38
2013-04-15,143.10,162.35,142.35,161.25,4552300,152.87
